id_komentar,nama_akun,tanggal,text_cleaning,sentimen,yang_isi
UgxFMeOytVzzJo6iy5F4AaABAg,TopTrainers,2023-07-16 06:30:59+00:00,jual ev naik jual genset bakal naik ni,negatif,Putra Ganda Dewata
UgxcvX9LMnprk35PR3d4AaABAg,parkir anovo,2023-07-13 05:17:26+00:00,contohin dulu semua menteri dpr mpr guna listrik,Negatif,Wahyu Aji Nurrahman
UgzeccWl2H7OLv0hhI54AaABAg,Ida satya Ananda,2023-07-13 04:49:15+00:00,sedia station charging masalah   motor   rame   notaben sering pake jalan jauh was was habis batre   sation ribet   motor paling pake komplek,Negatif,Muhammad Agha Setya Pratama
UgwYT_PmnyAsk3O3dip4AaABAg,Benny Wicaksono,2023-07-12 07:45:19+00:00,subsidi bbm cabut mahal trus muncul si bilang hemat sih analogi okok non okok banyak teori     rokok hari sekian bulan sekian tahun kebel nmax fakta     rokok   kebel motor  tetap    sama kredit biarpun   rokok   kumpul duit segitu pake bbm keluar biaya sekian biaya perawan dl tahun sekian juta   pake cuma sekian,,Muhammad Fawzan
Ugz6oZ8eFg8_9QCkfHx4AaABAg,Ary Nawan,2023-07-12 06:29:27+00:00,harga sperpartnya,Negatif,Mikhael Anrodin Simanjuntak
Ugw4c0eMIKC1XcKtYa14AaABAg,Zar,2023-07-11 15:18:15+00:00,ev masih nyaman disini   dipaksain paling cman jabodetabek kota besar provinsi   tahan beli dulu sekalian nunggu sodium battery solidstate battery,positif,Azzar Rizky
Ugxnals4WC_p0IuGVsB4AaABAg,agung nugroho,2023-07-11 14:14:22+00:00,nungguin ganti lithium solid state battery rilis resmi,netral,Mulia Sahpira
UgztaWg5eBCTHJUotox4AaABAg,ANWAR A,2023-07-11 13:44:22+00:00,dukung terus doa negara makmur produksi sndirikan,positif,Rizky Ridho Ramadhan
UgwAD3ZeI8HU7tJghSZ4AaABAg,RandomWM,2023-07-10 13:16:11+00:00,suat   baru kata   jaman dlu kala efisien tinggal ngerepotin efisien mahal mudah rusak beda brand beda bentuk baterai beda bentuk power outlet beda besar baterai dl,negatif,Muhammad Totti Alfarabi
Ugz4NDNw8nbSFfxM8354AaABAg,Nicky Anderson,2023-07-09 23:40:18+00:00,pake atur   buat jd laku   larang bahkan ancam pidana   jual beli   non listtik gampang,Netral,Raden Ayu Safira Aprilia Fatimah
UgwpTFEpxjsXFSKYaV14AaABAg,yudhi mypras,2023-07-09 22:51:21+00:00,masyarakat ingin harga jual baterai murah baru mau beli,negatif,Ade Rocky Saputra
Ugxm86L-s7nkGvFeGhd4AaABAg,Putra Perdana,2023-07-09 09:53:45+00:00,aneh banget subsidi kendara pribadi pake anggar negara bayar usaha malah dorong program ada ev buat jabat ngasih duit buat kkn proyek ada ev jabat   punya saham usaha sembari dapet baru pake anggar negara   dapat ras duit pajak masyarakat kecil padahal transportasi publik sendiri pada cuman jakarta kota kota   bantu   dorong kembang layan transportasi publik rata nih padahal ahli kota nyata bijak solid transportasi publik turun macet hingga efisiensi sistem gera kota lebih tepat waktu kendara jalan lebih efisien warga kecil nikmat akhir gera ekonomi lebih lancar akibat lain kurang polusi fasilitas dukung transport publik tingkat trotoar lebar lahan pkl rapi toko pinggir jalan hidup dl masyarakat kecil lebih banyak sempat buka usaha jalan   banyak lalu transportasi publik sebab semua susah jadi paragraf,Negatif,Isabella Aisyah Yasmin
UgyPievX3l_ypHtbo2B4AaABAg,Erama Gh25,2023-07-07 13:25:38+00:00,beli cuma   duidnya bgsd,negatif,"Ramanda,md"
UgySOUPyxBMGjbHozah4AaABAg,MercyMe,2023-07-07 11:16:57+00:00,infrastruktur bom pada harga unit mahal,netral,Nur Aisyah Wahyuni
Ugwp4q-M41KTZ4GawjF4AaABAg,Inta,2023-07-07 03:56:45+00:00,coba cek jabat staff ngomong soal seharinya pakai,netral,Selvie
Ugx5hI92vUPSncyzjoZ4AaABAg,MMD DS,2023-07-06 22:35:49+00:00,musim hujan banjir kek bahaya pake awat ribet ganti baterai mahal,negatif,Silvi Mutia
UgxlZXQ5ENzAv5BuvV14AaABAg,Sky Editing Batam,2023-07-06 16:16:15+00:00,yakin masyarakat alih apabila harga sama bahan bakar fosil produsen beri wajib produksi bentuk   sama bahan bakar fosil biasa produksi buat versi   murah ukur kecil ingat masyarakat beli mayoritas beli kendara bawa keluarga,,Bebin Paula
Ugx8_EzV1yvHhp0hK-V4AaABAg,Abner Moses,2023-07-06 11:38:46+00:00,lama bensin   laku harga lebih mahal,Netral,Putri Hasanah
UgyliI-ZU8DsDwAYXbV4AaABAg,Midhian Subekti,2023-07-06 10:22:07+00:00,mau beli bukan terlalu mahal  ,Netral,Aldo Kadafi
UgwLp2Ai329bzdpRV2x4AaABAg,axel & yola,2023-07-06 07:38:12+00:00,teknologi baru developnya sempurna mesin bensin oke develop udah ratus tahun kuatir mirip handphone pakai tahun batre kembung batre drop ev kerjasama sama rakkipanda viz oke sih,Netral,Relin Pramudiya
Ugz15XcYwVifRXEi_ix4AaABAg,Willoughbia elmerii,2023-07-06 05:48:21+00:00,lebih efisien   beli   duit mau korupsi,Netral,Andreas
Ugwvfthm39DfWlZ5vn14AaABAg,calon pengkhianat,2023-07-06 05:23:11+00:00,proyek ambisius   gagal total,negatif,Januar Firnando
UgyIQSTuXSuVyIE3jjJ4AaABAg,Bun pie Ang,2023-07-06 04:42:29+00:00,tempat chas tambah,netral,Vincentius Hansel Irsansaputra
UgxyIZFWsg81fFnfZ9V4AaABAg,Boby rico,2023-07-06 03:40:30+00:00,hayo bingung itu punya,positif,Vincent
Ugz1STFVIyQaVM-3gV54AaABAg,Cristalwrap,2023-07-06 03:17:04+00:00,omong kosong berita mantap fakta zero,negatif,Viky Hendriko
UgyWh6o1hmq0fQPLpVN4AaABAg,Budiman Tedja Saputra,2023-07-06 03:14:39+00:00,banyak bahas efisiensi kurang polusi udara ceo toyota produksi cemar udara toyota usai buat bagaimana capai jabat level ceo usaha,Netral,Michelle Graciela
Ugyb9HTgrB3QUknxcGR4AaABAg,Indra Fahri ( shadow TV MAN ),2023-07-06 02:57:10+00:00,iya jalan sering banget ketemu kendara jalan,positif,Candra
UgwhfeyoAqCQWJ59_4J4AaABAg,gameoff,2023-07-06 01:20:11+00:00,mending tidur punya malah iklan ampun gusti,negatif,Albertus Dwi Andhika Putra D.
UgxWf81-u7NhKzyBgOt4AaABAg,Eddy Jocom,2023-07-06 00:38:54+00:00,apa rakyat mau chanel apa,netral,Fernando
UgxuEqopgIM6KhiG5fJ4AaABAg,The Reaction,2023-07-05 23:57:57+00:00,harga jual mahal banding kendara biasa gimana masyarakat mau beli,,Jendraja Husin Kotan
UgzG1sXCLt63teKgxoJ4AaABAg,MBOH YO,2023-07-05 23:46:06+00:00,jelas dunia butuh kendara bas dunia butuh energi baru   nyinyir go to hel   kalian,negatif,Billy Franko
UgwhbcLUiUjs1WPd_Ih4AaABAg,Kenedi Kenedi,2023-07-05 23:18:33+00:00,rakyat dong pikir jangan bisnis hitung hitung rugi rakyat tidak kaya,netral,Kelvin William Chandra
UgypKmila4jVWabelJl4AaABAg,Dcdi Wizaya OFFICIAL,2023-07-05 22:20:00+00:00,sulit hidup promosi monopoli naik harga bensin liat irit padahal sulit,negatif,Nicholas
Ugxz19MikisEhyhff_14AaABAg,Queen Allena,2023-07-05 17:45:43+00:00,modelenya krg bagus  semua,negatif,Reza Dwi Restiyan
UgwEa5gyZoE9wyUz7oF4AaABAg,Rich Akkisimo,2023-07-05 16:02:13+00:00,nama beli kendara ulang ulang bbm   pakai puluh tahun rusak   baik dikit sekali rusak keluar uang   harga baru batterynya ampun sulit jangka dekat mungkin tahun,negatif,Nicholas Wilyanto
UgzmiDCAg6Vyo2poGqp4AaABAg,Anggel Prameswari,2023-07-05 15:06:19+00:00,ngeri ges harga baterainyah buat nambah bini muda,negatif,Muhammad Mauladi
UgyoJ-ZI85tr4Nv9ipB4AaABAg,Perspektif,2023-07-05 14:51:55+00:00,stop bbm kelar urus simple,,Dinda Putri Ayu
UgxoTNiMFpQdGUCpTXV4AaABAg,ahmad 318,2023-07-05 14:51:00+00:00,hybrid,positif,Wesley Maximilliano
UgxBinhgKJAiH-r2k_14AaABAg,victimov talent,2023-07-05 11:42:46+00:00,mulai deh maen paksa dan ancam mental kolonial,negatif,Dep` Niel Sinaga
UgyywrBurkzTniU4jRZ4AaABAg,Harry 吴友丰 Wu YouFeng,2023-07-05 10:53:20+00:00,sedia dulu wc tempat berak  jangan  udah mau berak baru siap biasa sih menurut negara rencanakan matang dulu sebelum jalan terima   baru masa  lebih  pintar kalian   das sih kayaknya,Negatif,Muhammad Anugrah Hakiki
UgwkqFdRiNkADbuyKUt4AaABAg,Heidhou,2023-07-05 10:47:18+00:00,kendara kendara kota keluar kota mikir otomatis punya kendara   tenang luar kota arti unit rumah ngk semua rakyat indonesia mampu beli unit harga murah mesin ken,Negatif,Muhammad Alif Fahlevhi
UgwX7cskjni__snPest4AaABAg,INFO KINI CHANNEL,2023-07-05 07:53:21+00:00,harga mahal murah konvensional   harga bawah konvensional laku keras,Netral,Veldy Piscessara
Ugzoya9EiqFkrcd4_iF4AaABAg,easy simple,2023-07-05 07:10:23+00:00,bagi gratis pajak umur hidup siap terima senang hati,Positif,Rikky
UgwoArUw4TcHprDN1VB4AaABAg,Rangga Gunawan Putra,2023-07-05 06:12:52+00:00,jt bawah bukan harga jangkau orang mikir beli ev harga jt cuma ukur agya harga agya sendiri jauh bawah   ev mau laku gampang bikin harga jual mirip sama harga lcgc,negatif,Putra Ganda Dewata
UgwA-l5Kyt9Ifqrjnid4AaABAg,Arief P,2023-07-05 05:24:47+00:00,analisa masyarakat malas beli takut habis baterai jalan keluar kota banyak stasiun isi baterai masalah servicenya nunggu bulan bulan garansi bentuk bagus sangat mahal mending beli mercy bmw harga lebih murah sama bentuk mewah harga murah bentuk kecil aneh mending beli avanza xpander veloz harga lebih murah,Negatif,Wahyu Aji Nurrahman
UgxeKdtX2B5rp2QzCfN4AaABAg,AutoPilotX,2023-07-05 03:00:15+00:00,cnbc semua kantor berita asing mau coba goyang indonesia bawa rakyat gerah  lihat  jokowi   atur kayak presiden belum jual kokain   kalian rakyat kalian kerja cia dulu as senjata tukar kokain era contras made in as nikaragua rakyat kalian zombi kensington pensylvania,Negatif,Muhammad Agha Setya Pratama
Ugx8eZC07EipH0l9DgZ4AaABAg,Nasib Telaumbanua,2023-07-05 02:48:08+00:00,anggota dpr muat alas rakya kecil padahal demokrat korupsi besar besar,,Muhammad Fawzan
UgzdfTVBqvTNLzwcdvN4AaABAg,Pradana,2023-07-05 02:30:54+00:00,bukan   laku mahal,Negatif,Mikhael Anrodin Simanjuntak
Ugz0BnS94Xo5FkCo6154AaABAg,didis didis,2023-07-05 02:03:18+00:00,fasilitas buat ngecas bangun dulu baru jual unit,negatif,Azzar Rizky
Ugz73rmR27FUxPnLAlB4AaABAg,fahriadi,2023-07-05 01:24:58+00:00,jalan   banyak     mulus,positif,Mulia Sahpira
Ugw5qs1lYqeVVHxHYtF4AaABAg,Herry Lubis,2023-07-05 01:04:59+00:00,batrenya mahal   rusak,negatif,Rizky Ridho Ramadhan
UgzDho6rGhG98NJUlN54AaABAg,GS GAMING,2023-07-05 00:55:23+00:00,lama harga saing sama bahan bakar fosil mitigasi stasiun charge mitigasi jadi antri panjang waktu isi waktu charge isi bbm kendara fosil jangan harap banyak minat milik perintah pakai jalan pintas biasa kurang kreatif contoh kereta parahyangan mati orang pindah kereta cepat terbang komersil bandara husein mati orang mau pindah kertajati jalan pintas pakai buat atur wajib dealer jual rasio kendara fosil jual jual langgar dapat beban pajak lain,negatif,Muhammad Totti Alfarabi
Ugw1GSvb1nmOvQtt9kJ4AaABAg,Umberto Verbita,2023-07-05 00:08:32+00:00,naik pajak setinggi langit guna bahan bakar fossil naik harga bbm setinggi langit masyarakat alih,,Raden Ayu Safira Aprilia Fatimah
UgxwR6LTyXkRd59v-b54AaABAg,Papi Mami,2023-07-04 22:50:43+00:00,nyata muldoko kosong,netral,Ade Rocky Saputra
UgxsNS9fvpfp5AeFJDR4AaABAg,Adithia Al Aziz,2023-07-04 18:33:14+00:00,masyarakat tengah bawah mikir sih   beli biaya rumah   berapa sanggup ampere rumah masa iya pas charge cabut kulkas alat rumah   lain dulu lama waktu charging kursi sedikit harga mahal yah mending produk   dulu bengkel semua kota hitung harga jual semua kota punya station charge jalan indo banyak   terjal lubang sanggup   mungkin jalan kota   desa desa jalan jelek gimana,,Isabella Aisyah Yasmin
Ugzfgn5aI5fGl9Ofa4B4AaABAg,boheme t,2023-07-04 17:24:08+00:00,tesla malaysia launching   bilang tak laku benar makin banyak malaysia singapore,netral,"Ramanda,md"
UgxSF5gvQ8LS8rVTKnV4AaABAg,Jordan Nathanael,2023-07-04 11:43:21+00:00,mau orang langsung pindah tutup subsidi bbm subsidi,,Nur Aisyah Wahyuni
UgyZf866phyUcDA_fIh4AaABAg,Nabila ramadan,2023-07-04 06:40:47+00:00,sekarang bagus sih perintah langkah   lebih sedikit sedikit,positif,Selvie
Ugxzn4SVapJULd9qKuV4AaABAg,Rasev Putra,2023-07-04 06:24:03+00:00,laku masyarakat   ganggu produsen   mikir   ogah,negatif,Silvi Mutia
Ugwi1PNg7YGvtu9A7pt4AaABAg,Hardi firmansyah,2023-07-04 05:42:12+00:00,mending bensin hitung ama keluar mahal,,Bebin Paula
Ugwp5g9tS5FJtdpuoZF4AaABAg,Mohita Official,2023-07-04 05:06:54+00:00,jelas market mau high end   laku kayak avanza mana mau laku keras low end harga avanza segmen masyarakat low end harga high end   capai,netral,Putri Hasanah
Ugz_BdCDraQ9j59_e9d4AaABAg,Bagas Sri Indrantoro,2023-07-04 04:56:57+00:00,bingung sama permerintah indonesia kalian pimpin rakyat indonesia karyawan usaha asing sih ngapain ngasih subsidi produk usaha asing   lebih prioritas   dapat subsidi permerintah  indonesia produk usaha lokal asli indonesia bukan produk asing   mampu beli golong  orang kaya   banyak duit sejak bayi lantas ngapain orang kaya kasih subsidi subsidi   relokasi   topang hidup golong   kurang mampu   lebih butuh subsidi banding orang kaya sekarang tanya negara asing mana   beri subsidi   produk indonesia   jual negara produk indonesia saing produk pasar negara dont be stupid,negatif,Aldo Kadafi
UgyRqQ0PQlEP_H9H35V4AaABAg,Georgie Honda,2023-07-04 04:42:32+00:00,design bajaj,negatif,Relin Pramudiya
UgzsjMr1ct_cQw-KSHl4AaABAg,Reed Wanadi,2023-07-04 03:11:37+00:00,harga baterai   capai harga daya tahan bahan timbang penting sih hitung ongkos per bulan mungkin lebih murah mirip bbm   masalah konvensional keluar bulan   lihat mahal diabnding   sekali ganti baterai bakal mirip kayak beli baru,Negatif,Andreas
Ugw-KESjj7Ufr8YreeF4AaABAg,rizaldy,2023-07-04 01:46:11+00:00,kurang laku karena station charge minimum berapa jarak charge penuh habis baterai roda tempat service onderdil tanda tanya wajar baru orang ragu kalau mau benar laku siap dulu poin atas,Negatif,Januar Firnando
Ugz2oxxUhppXRhx9KIR4AaABAg,agus basuki,2023-07-04 00:56:09+00:00,si joko setijowarno ngawur bilang kendara pribadi larang lewat maksud operasi x bilang tinggal batu bara   polusi sangat tinggi tuju sih apa   sadar   guna isi daya kendara bagi besar pasok pltu   bahan bakar batu bara ni bisik perintah   sengsara rakyat   laku udh jangan paksa rakyat beli padahal sadar china   negara maju   butuh waktu tahun terap sampe  sekarang  jg blm sepenuh jalan bahkan banyak lihat   tadi ngebet beli padan batrenya rusak udh taruh gitu   karna batrenya mahal,negatif,Vincentius Hansel Irsansaputra
UgxnJkPyLHbJxASF9354AaABAg,bang jali,2023-07-04 00:05:42+00:00,cara indonesia jangan pake batubara luhut,negatif,Vincent
Ugw69JFobhxeo7sl51N4AaABAg,JinRoh 33,2023-07-03 15:21:22+00:00,semi bullshit ev,negatif,Viky Hendriko
UgwNQonG307EG0zTtr94AaABAg,rhm,2023-07-03 14:20:14+00:00,fokus kendara umum mental,Netral,Michelle Graciela
Ugyya9cic7MQls4nOF14AaABAg,DK,2023-07-03 13:41:15+00:00,transportasi umum jakarta lrt mrt bus kurang pada jangkau semua jalan jakarta terlalu sumpek macet jangan tambah tambah pribadi atau bbm benah dulu transportasi umum jalan jalan kecil bus bus layak ber ac,negatif,Candra
UgxpVFYPydCZZ8xCZnl4AaABAg,Rizky Toro,2023-07-03 10:30:50+00:00,jadi masalah tempat casnya   masih sedikit banyakin tempat casnya terus   ngecas cepat cepat laku  orang  mau beli mikir ngecasnya   jalan jauh,netral,Albertus Dwi Andhika Putra D.
UgxTr4RYAAwwGmZW6-F4AaABAg,cybercodes,2023-07-03 09:20:15+00:00,gimana mau laku harga setinggi langit dealer buat harga enak,negatif,Fernando
UgzlClokNMIlUxy6Gyh4AaABAg,Ayang Tan,2023-07-03 06:10:34+00:00,orang butuh murah,,Jendraja Husin Kotan
UgyeACKCwCOzKjG8WZF4AaABAg,Wen Chia,2023-07-03 04:37:43+00:00,faktor indonesia jarak tempuh harga sangat mahal rakyat kecil infrastruktur suku cadang,negatif,Billy Franko
UgyDJDC9oFxwgUIcQkl4AaABAg,Andy Walkman,2023-07-03 02:35:04+00:00,masalah bukan stasiun charging harga mahal jt mini beli bbm bagus,negatif,Kelvin William Chandra
Ugw3kr9GVBq1mBFkGuN4AaABAg,Bejo Santoso,2023-07-02 23:15:48+00:00,jelas jabat tri keluarga     suka kok nyuruh masyarakat beli lucu lucu,negatif,Nicholas
UgwjObEokqvFyWIewcp4AaABAg,aldi akbar,2023-07-02 14:49:26+00:00,subsidi gilir subsidi rakyat cabut semua subsidi makin sini makin liat arah,negatif,Reza Dwi Restiyan
UgzdEeTYUMCABp3pa714AaABAg,anti homo,2023-07-02 13:10:47+00:00,aku sales mobil singkat kendara torsi gede awal power melempem nanjak cepat tinggi baterai gatcha kualitas tiap unit beda durabilitynya jg beda daya jelajah kurang suspensi kaki ringkih oleng stabil mesin berat konvensional baterai   rata letak bawah bantu down force imbang cepat tinggi degan mulu takut mati jalan habis,negatif,Nicholas Wilyanto
UgxpSQuvHXdZavBykA54AaABAg,DMC Audio,2023-07-02 12:53:19+00:00,mau mau cepat lambat kendara ganti kendara bahan bakar fosil konversi teknologi awal selalu jadi tentang waktu debat tolol segera lupa,negatif,Muhammad Mauladi
UgwyiFE870vCFWpnnF14AaABAg,Febri Permana,2023-07-02 12:10:49+00:00,lebih mndewakan motor manusia untung sua sepeda tiap kerja minggu wajib bike to work sekali berangkat p km desa kota total minggu tempuh km   sepeda   naik sepeda badan lemas ngantukan tempat kerja bike to work go green go cycling no global warning salam bike to work   mnjalankanya,,Dinda Putri Ayu
UgzJRljZJJQGfpG8Bnt4AaABAg,deki darockman,2023-07-02 11:44:23+00:00,demokrat pikir  kok  mundur nama baru rakyat banyak tahu wajar perlu waktu jangan baru hambat dikit nyerah mental kerupuk,negatif,Wesley Maximilliano
Ugyanj64I07fN_7xIqp4AaABAg,Ardliansyah Ramadhan,2023-07-02 11:16:51+00:00,utama kendara umum ubah kendara masyarakat nilai sendiri plus minus langsung,netral,Dep` Niel Sinaga
UgzJ03B3Poi722KHWj54AaABAg,Mr. Yanto,2023-07-02 11:03:45+00:00,coba harga puluh juta motor harga juta yakin banyak beli rusak jual rusak jual banyak second otomatis onderdil limpah,Negatif,Muhammad Anugrah Hakiki
UgzhwyGcQnr9BaBBDCt4AaABAg,Ahlinya Ahli Pengamat,2023-07-02 09:28:03+00:00,charger menit km baru jos,Positif,Muhammad Alif Fahlevhi
UgyP0Jv8ySZ25prDmst4AaABAg,Golden moc,2023-07-02 08:03:43+00:00,rakyat ingin jalan dulu benah baik luas panjang bukan dar membludaknya jumlah kendara jalan percuma baran tpi macet,Negatif,Veldy Piscessara
UgxfIZU742a4iq7gIcB4AaABAg,Sudir Man,2023-07-02 07:38:31+00:00,bagaimana mau laku harga mahal negara pajak mahal langit   korupsi jalan negara bnyk lubang,Negatif,Rikky
UgzXW_1nPDqrfiJmri54AaABAg,Ahmad Shobshob,2023-07-02 06:12:30+00:00,mungkin dengan serentak perintah guna kendara supaya masyarakat contoh,positif,Putra Ganda Dewata
UgxCVGYx8lIilUFEISd4AaABAg,rgjanssen,2023-07-02 06:07:25+00:00,paling mau minimal seater ukur compact suv   harga jangkau juta,Negatif,Wahyu Aji Nurrahman
Ugy5iSc6MUQ9wDmIwbR4AaABAg,SZE Neverland,2023-07-02 05:43:46+00:00,halah coma main sini desa desa tanyain usaha apa hasil berapa hidup   sulit   mau pecut pecut bapak pikir kerbau cocok hidung nurut nurut   gitu negara karna rakyat jan awal pecut batrai hp   drop om soak lagi mahal ramah rakyat tengah bawah lebih tuju orang orang kaya   usaha   gedw,Negatif,Muhammad Agha Setya Pratama
Ugwj39A6rVeshDURMCp4AaABAg,Eko Andrian,2023-07-02 04:34:32+00:00,kendara cuma lahan kaya jabat,,Muhammad Fawzan
UgxtqvZIOyzYmbwa0mR4AaABAg,Rokhani,2023-07-02 04:28:53+00:00,cnbc benar punya siapa berita kok selalu kayak sono terus,Negatif,Mikhael Anrodin Simanjuntak
UgxIJnnqlEi1tHvAUEB4AaABAg,Tio Sanjaya,2023-07-02 03:34:37+00:00,mau keluar kota cas dulu tunggu lama,netral,Azzar Rizky
UgwHSNMexuAsdHwHvTx4AaABAg,Mosi Mola mobu,2023-07-02 03:15:32+00:00,harga pajak sarana prasarana lebih murah banding bbm,negatif,Mulia Sahpira
Ugw-EIHhQu_OshEQIyh4AaABAg,Vorza Gaming,2023-07-02 03:13:00+00:00,jual duduk haduh jadiin transportadi umum dulu baru rakyat bakal susul nanti,netral,Rizky Ridho Ramadhan
Ugy0JrYd6PEStNBsv5p4AaABAg,Gusti Khairudin,2023-07-02 02:13:24+00:00,mau keluar kota cas batere perintah sedia stasiun charger mau beli jangan cuma jual dong mas pemwrintah mikir mas mikir,negatif,Muhammad Totti Alfarabi
